GroupSize,AddMemberMs,RemoveMemberMs,UpdateMemberMs
5,0.7502,0.5395,0.5150
10,1.8043,1.6690,2.0669
50,18.5907,15.2070,17.8031
100,87.3985,109.4454,125.2922
250,277.6662,356.1765,285.6569
500,490.1154,456.1507,465.8961
750,1049.0439,1060.6970,1038.2930
1000,1907.4573,1875.8249,1924.9390
