group_size,iteration,encrypt_duration_ms,add_member_duration_ms
1000,16,10.037900,42.460200
1000,17,12.770400,42.460200
1000,18,8.411200,42.460200
1000,19,9.066000,42.460200
1000,20,8.844600,42.460200
1000,21,9.238000,42.460200
1000,22,12.127900,42.460200
1000,23,8.653300,42.460200
1000,24,8.521100,42.460200
1000,25,11.278600,42.460200
1000,26,8.909200,42.460200
1000,27,9.265100,42.460200
1000,28,9.124900,42.460200
1000,29,8.515800,42.460200
