GroupSize,MockMs,RealMs,CryptoMs,CoordinationPct
16,1.05,38.26,37.21,2.75
32,3.09,127.05,123.96,2.44
64,10.40,845.15,834.75,1.23
128,35.58,N/A,N/A,N/A
256,140.17,N/A,N/A,N/A
512,500.04,N/A,N/A,N/A
1000,2100.30,N/A,N/A,N/A
